調整日期,項目,單位,數量
19790801,電燈用電_包燈(100瓦以下),元／每燈每月,51
19790801,電燈用電_表燈_營業用(330度以下)_夏月,元／每度,3.5
19790801,電燈用電_表燈_營業用(330度以下)_非夏月,元／每度,3.5
19790801,電燈用電_表燈_營業用(331~500度)_夏月,元／每度,3.9
19790801,電燈用電_表燈_營業用(331~500度)_非夏月,元／每度,3.9
19790801,電燈用電_表燈_營業用(501~700度)_夏月,元／每度,4.2
19790801,電燈用電_表燈_營業用(501~700度)_非夏月,元／每度,4.2
19790801,電燈用電_表燈_營業用(701度以上)_夏月,元／每度,4.2
19790801,電燈用電_表燈_營業用(701度以上)_非夏月,元／每度,4.2
19790801,電燈用電_表燈_非營業用(110度以下)_夏月,元／每度,1.2
19790801,電燈用電_表燈_非營業用(110度以下)_非夏月,元／每度,1.2
19790801,電燈用電_表燈_非營業用(111~330度)_夏月,元／每度,1.8
19790801,電燈用電_表燈_非營業用(111~330度)_非夏月,元／每度,1.8
19790801,電燈用電_表燈_非營業用(331~500度)_夏月,元／每度,2.3
19790801,電燈用電_表燈_非營業用(331~500度)_非夏月,元／每度,2.3
19790801,電燈用電_表燈_非營業用(501~700度)_夏月,元／每度,2.3
19790801,電燈用電_表燈_非營業用(501~700度)_非夏月,元／每度,2.3
19790801,電燈用電_表燈_非營業用(701度以上)_夏月,元／每度,2.3
19790801,電燈用電_表燈_非營業用(701度以上)_非夏月,元／每度,2.3
19790801,綜合用電_低壓基本電費(按裝置容量計)_營業用_夏月,元／每瓩每月,126
19790801,綜合用電_低壓基本電費(按裝置容量計)_營業用_非夏月,元／每瓩每月,126
19790801,綜合用電_低壓基本電費(按裝置容量計)_非營業用_夏月,元／每瓩每月,108
19790801,綜合用電_低壓基本電費(按裝置容量計)_非營業用_非夏月,元／每瓩每月,108
19790801,綜合用電_高壓基本電費(按需量契約容量計)_營業用_夏月,元／每瓩每月,171
19790801,綜合用電_高壓基本電費(按需量契約容量計)_營業用_非夏月,元／每瓩每月,171
19790801,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_夏月,元／每瓩每月,150
19790801,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_非夏月,元／每瓩每月,150
19790801,電力用電_低壓供電基本電費(按裝置容量計)_夏月,元／每瓩每月,105
19790801,電力用電_低壓供電基本電費(按裝置容量計)_非夏月,元／每瓩每月,105
19790801,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,144
19790801,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,144
19790801,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,138
19790801,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,138
19800101,電燈用電_包燈(100瓦以下),元／每燈每月,66
19800101,電燈用電_表燈_營業用(330度以下)_夏月,元／每度,4.1
19800101,電燈用電_表燈_營業用(330度以下)_非夏月,元／每度,4.1
19800101,電燈用電_表燈_營業用(331~500度)_夏月,元／每度,5
