行業別大類,行業別中類,行業別小類,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
A.農、林、漁、牧業,01 農、牧、狩獵,011 農藝及園藝,35451310,31652201,35421259,35859325,41541044,43087789,46249083,47517893,44831495,42994594,41693384,38835462
A.農、林、漁、牧業,01 農、牧、狩獵,012 農事服務,27189299,23549113,26553831,28897108,34801130,38086858,44349489,40035129,35835359,34486714,33897293,31894552
A.農、林、漁、牧業,01 農、牧、狩獵,013 畜牧業,39283690,36939192,40614894,41597054,49815017,53050524,58747257,61510469,58628233,53828527,49930011,44478254
A.農、林、漁、牧業,02 林業及伐木業,021 林業,200603,165537,187887,195378,239138,257035,263579,256586,247817,225831,215388,204910
A.農、林、漁、牧業,02 林業及伐木業,022 伐木及林產經營,127292,112824,121650,127819,156726,166741,183719,179702,188199,157696,161319,142781
A.農、林、漁、牧業,03 漁業,031 漁撈業,120932,113659,128953,138020,145165,146465,161193,161951,158748,150456,160991,155404
A.農、林、漁、牧業,03 漁業,032 水產養殖,74174774,65279566,69977660,66990790,79205336,81580268,90728851,93879285,94925565,83827375,83058349,78575898
A.農、林、漁、牧業,04 其他,,35386664,33683632,38559515,36657074,42474574,44222595,44178744,46141389,42209138,37596608,39069776,36824838
B.礦業及土石採取業,05 煤礦業,,72994,61563,82042,109186,98133,115627,117178,115882,99451,95511,89533,101883
B.礦業及土石採取業,06 石油、天然氣及地熱礦,,1386394,1277408,1344957,1400740,1604230,1490346,1620732,1757147,1607791,1920902,1695760,1580157
B.礦業及土石採取業,07 金屬礦業,,134648,97790,139902,135823,140550,138461,126608,133314,126101,120388,137728,132042
B.礦業及土石採取業,08 非金屬礦業,081 鹽業,106635,91468,112135,144644,165895,165514,169978,173900,155011,175817,133033,120689
B.礦業及土石採取業,08 非金屬礦業,082 化學及肥料礦,7042474,5850599,7763776,7181395,8431384,8727239,7920986,9159679,8188486,8725991,8098786,8286864
B.礦業及土石採取業,08 非金屬礦業,083 土礦業,662018,515747,692442,695534,806003,758136,713175,758708,724481,799922,830879,763110
B.礦業及土石採取業,08 非金屬礦業,084 石礦業,8205970,5292619,7553835,7036603,7606639,7371673,7438263,7503284,6563676,7141328,7351096,7950042
B.礦業及土石採取業,08 非金屬礦業,089 其他非金屬礦,1047290,803087,938805,935488,969285,1019999,1110207,1163403,907237,1086716,1317814,1620514
B.礦業及土石採取業,09 土石採取業,091 陸上土石採取,8706242,5805453,8119684,8049262,8854027,7819830,7979562,8469983,6734206,8202195,8575993,9636489
B.礦業及土石採取業,09 土石採取業,092 河海砂礫採取,3670833,2560712,3574291,3532993,3766151,3493623,3174396,3538699,2756766,3243883,3611342,3748054
B.礦業及土石採取業,09 土石採取業,099 其他土石採取,7612752,5726471,7714197,7685349,7904059,7203648,7791689,8272010,6852113,8096249,8298946,8678728
C.製造業,11 食品及飲料製造,111 屠宰業,15984319,13219507,15950536,16832840,18736734,18843550,19949291,20300833,19143832,19303248,18238731,17926661
C.製造業,11 食品及飲料製造,112 乳品製造,14942742,12204530,15240054,16295478,18354096,18724706,20018434,20247529,18025753,18482366,16638030,15989848
C.製造業,11 食品及飲料製造,113 罐頭、冷凍、脫水及醃漬食品製造,61273145,51819212,61938231,66396795,76538236,74222895,78040055,79502170,72595776,73546596,68185310,66676832
C.製造業,11 食品及飲料製造,114 糖果及麵食烘焙,28919963,23146495,27834720,29509489,34010686,35765334,38552312,38757301,33807335,34394913,32614043,31553783
C.製造業,11 食品及飲料製造,115 製油、製粉及碾穀,38602894,30070752,37458999,36737331,39563293,40613918,43964711,42766367,36962113,40759580,40923746,39188068
C.製造業,11 食品及飲料製造,116 製糖,6384313,4220709,6401629,6727353,7020534,6053922,6341224,6607581,5805300,6305721,5340602,6882006
C.製造業,11 食品及飲料製造,117 調味品製造,14262796,10795950,15947911,16246553,16276797,16684177,16385600,16124817,13969346,15292514,15372716,12349870
C.製造業,11 食品及飲料製造,118 飲料製造,36265170,29332078,37362863,47955585,47554448,49599358,51949670,52778993,43407782,43485408,40860401,38093301
C.製造業,11 食品及飲料製造,119 其他食品,82793485,67773033,81346652,85463045,100573001,103883217,110553534,112666799,103585742,104698808,99589713,95826744
C.製造業,12 菸草製造業,,1978912,1616379,2390030,2678004,3311681,3336561,3379750,4279302,3571561,3958654,3902268,3840929
C.製造業,13 紡織業,131 紡紗業,140970902,113043115,147905565,144488978,157549318,148171023,155350683,157283000,144271109,149049499,139749799,139935163
C.製造業,13 紡織業,132 織布業,79329308,62380204,80502014,79637988,84717477,81210570,85871703,90215204,84295373,90832484,86976537,89144914
C.製造業,13 紡織業,133 不織布業,19390140,15489041,19331359,18957829,21022973,20312994,20927328,21837570,20331946,21774777,19767507,19692746
C.製造業,13 紡織業,134 繩、纜、網、氈、毯製造,4070431,3100264,4046678,4037499,4478286,4331260,4490247,4962547,4055973,4081126,4113279,4132305
C.製造業,13 紡織業,135 印染整理,56923360,42620290,64580057,59445496,59913182,57767348,59204119,64255491,58943147,59947833,58417377,59401855
C.製造業,13 紡織業,139 其他紡織品製造,63466715,53499441,67096967,65641081,68527419,63927880,67838761,69141694,63366904,67229371,62922651,60008058
C.製造業,14 成衣、服飾品及其他紡織製品製造,141 梭織成衣,1858392,1519636,1846320,1830630,1983721,1992909,2170399,2385307,2253811,2182084,1934443,1899377
C.製造業,14 成衣、服飾品及其他紡織製品製造,142 針織成衣,9459871,7781578,9847539,9811632,10347932,10557052,11288307,12039645,10872787,10608569,10182947,9850856
C.製造業,14 成衣、服飾品及其他紡織製品製造,143 紡織帽製造,173858,155171,144322,171443,196862,194227,235829,239990,237461,207183,202220,178048
C.製造業,14 成衣、服飾品及其他紡織製品製造,144 紡織鞋製造,1086256,858684,1232937,1220923,1364100,1399598,1430263,1599159,1427880,1418906,1378131,1246020
C.製造業,14 成衣、服飾品及其他紡織製品製造,145 服飾品製造,3864381,3067733,4013994,4040084,4408576,4321731,4338725,4586322,4196408,4072936,3979848,3753375
C.製造業,14 成衣、服飾品及其他紡織製品製造,149 其他紡織製品製造,28042591,22908902,29325271,30669962,31712888,30866157,31698465,32264188,29805180,30930422,30055936,30350997
C.製造業,15 皮革、毛皮及其製品製造,,16303620,12836149,17369180,17306489,17505076,17300933,17745416,19101501,16849734,17823095,17424417,16155357
C.製造業,16 木竹製品製造,,19849546,15596631,20646743,19857307,21505589,21104262,22102445,23416067,20450328,21149781,21204710,20964041
C.製造業,17 家具及裝設品製造,171 非金屬家具及裝設品製造,2578358,1897100,2602356,2533329,2875219,2821360,3032341,3191246,2914613,2874112,2705088,2620770
C.製造業,17 家具及裝設品製造,172 金屬家具及裝設品製造,5802781,4348640,5832462,5763496,6493950,6508227,6507753,7030878,6047081,6347605,6360068,6250030
C.製造業,17 家具及裝設品製造,173 家具及裝設品表面塗裝,2171928,1527499,2176999,2145558,2446667,2514806,2686668,2780838,2481527,2463131,2593290,2479966
