行業別大類,行業別中類,行業別小類,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月 
A.農、林、漁、牧業,01 農、牧、狩獵,011 農藝及園藝,37344469,33655118,38438328,39695122,42940994,46497364,46786423,48266457,46097147,44441977,42186633,41819364
A.農、林、漁、牧業,01 農、牧、狩獵,012 農事服務,28869706,25144681,29626889,31881224,35867268,41864127,46209528,41712507,37514948,34767874,34866578,34427087
A.農、林、漁、牧業,01 農、牧、狩獵,013 畜牧業,44877856,41185027,47747284,49279072,54749994,63157890,63988033,68790633,65198903,60506711,52060456,50600232
A.農、林、漁、牧業,02 林業及伐木業,021 林業,199303,157766,187952,252128,311781,334075,353434,339822,331451,298697,221119,247796
A.農、林、漁、牧業,02 林業及伐木業,022 伐木及林產經營,151962,135900,155817,155566,158081,166576,167719,177136,166513,162921,151243,151554
A.農、林、漁、牧業,03 漁業,031 漁撈業,136794,126628,142156,137437,146728,150211,155597,153288,172104,161429,150054,154032
A.農、林、漁、牧業,03 漁業,032 水產養殖,75895572,68214998,76222061,78136300,83288827,90504880,91704401,96843778,95176459,89343920,87604577,83687634
A.農、林、漁、牧業,04 其他,,36242232,35384954,41343990,43915609,47537142,50811008,42172535,43184321,39637138,40444378,39737892,38068111
B.礦業及土石採取業,05 煤礦業,,86281,55515,62221,72772,97078,92940,93353,132652,107270,115090,98462,88209
B.礦業及土石採取業,06 石油、天然氣及地熱礦,,1575062,1356009,1787180,1533623,1737343,1650886,1731036,1706187,1684963,1649547,1598356,1765163
B.礦業及土石採取業,07 金屬礦業,,115880,85200,124800,114240,113580,111600,127580,124280,130380,103860,101020,108740
B.礦業及土石採取業,08 非金屬礦業,081 鹽業,126559,100499,133851,143237,168548,164971,179351,170468,178864,156611,135575,125691
B.礦業及土石採取業,08 非金屬礦業,082 化學及肥料礦,7835969,6706090,8457514,7131821,8549527,7238095,8697793,9160471,7911958,8764347,7811442,8531861
B.礦業及土石採取業,08 非金屬礦業,083 土礦業,846097,531534,695979,780890,891125,871183,908374,853845,964347,1136424,1148475,1103056
B.礦業及土石採取業,08 非金屬礦業,084 石礦業,4402983,2977944,4175509,3944227,4338117,4166245,4293438,4328760,3994793,4641332,4551833,4795107
B.礦業及土石採取業,08 非金屬礦業,089 其他非金屬礦,1274480,1033388,1250729,1138303,1284306,1227760,1325981,1328439,1403093,1657784,1648949,2036608
B.礦業及土石採取業,09 土石採取業,091 陸上土石採取,9815899,6484439,8864464,8499932,9121500,8159234,8558609,8512892,8861231,10062519,10041753,10829730
B.礦業及土石採取業,09 土石採取業,092 河海砂礫採取,3608652,2483154,3548314,3237344,3649654,3405781,3160236,3314578,3127939,3602711,3424736,3697253
B.礦業及土石採取業,09 土石採取業,099 其他土石採取,9375586,6904361,8585795,8194404,9054408,8355540,8547719,8358623,8372127,9559840,8995082,9597897
C.製造業,11 食品及飲料製造,111 屠宰業,17199206,14141809,17651146,17539792,20354832,19981801,20877345,20732751,19622697,19389880,18419904,17520263
C.製造業,11 食品及飲料製造,112 乳品製造,15247148,12629297,15958593,16408587,19248850,19053283,19868436,20094727,18487364,17320943,16997496,16319540
C.製造業,11 食品及飲料製造,113 罐頭、冷凍、脫水及醃漬食品製造,63750790,52500946,66074989,68885786,78979856,74573798,79477039,80993603,75943353,73765977,69790020,68714969
C.製造業,11 食品及飲料製造,114 糖果及麵食烘焙,30018889,24800864,30058653,30420627,35293528,35823450,38404273,39282696,34695702,33859285,32151142,31755645
C.製造業,11 食品及飲料製造,115 製油、製粉及碾穀,37103693,28868247,38033170,34030185,39378363,39745169,43578065,42183264,37562725,40385046,40100339,39525307
C.製造業,11 食品及飲料製造,116 製糖,5951916,3638431,5980654,5793548,5871045,4869038,5104634,5722097,5385266,5608952,5561988,5544503
C.製造業,11 食品及飲料製造,117 調味品製造,13400506,9900288,13641886,12783412,16546366,15345598,16313306,16167168,13694904,13819033,13038126,15316488
C.製造業,11 食品及飲料製造,118 飲料製造,37827308,29875512,40552569,39485925,48784517,50562497,52030746,53997772,46504294,43610977,40977951,38256581
C.製造業,11 食品及飲料製造,119 其他食品,93468758,76029845,93843609,95025619,110902047,110907535,117566399,119495102,112225414,108442318,104241407,102828932
C.製造業,12 菸草製造業,,3225246,2329651,3704545,3584466,4391729,4436929,4442795,4463907,3997900,3926514,4023283,3928584
C.製造業,13 紡織業,131 紡紗業,121505656,95692277,124842428,120627051,130827914,129418086,132331770,134726089,126217544,122774904,116235951,114984387
C.製造業,13 紡織業,132 織布業,84687901,65513846,84577990,80465868,84016214,82607126,85745275,90131748,85568464,91720938,79923142,78496495
C.製造業,13 紡織業,133 不織布業,21586072,16888105,22433514,22025929,24262970,23907154,24412095,23555439,22353787,21540264,20151580,19068534
C.製造業,13 紡織業,134 繩、纜、網、氈、毯製造,4212991,3028630,4822269,3315443,4377495,4443835,4587116,4802572,4463056,4250827,4035055,3963590
C.製造業,13 紡織業,135 印染整理,57373221,41581654,61360147,53985370,59780825,54745579,57092842,61800055,56100461,57660210,55163529,53003980
C.製造業,13 紡織業,139 其他紡織品製造,59399198,47934377,61588907,59295935,64001376,63241090,62876094,63391048,58074565,58700819,54469935,50439340
C.製造業,14 成衣、服飾品及其他紡織製品製造,141 梭織成衣,1691937,1410795,1748431,1798778,2015012,2059977,2214284,2286749,2102963,1949330,1769637,1762139
C.製造業,14 成衣、服飾品及其他紡織製品製造,142 針織成衣,9234387,7060615,9521650,9339158,10696772,10340862,11080482,11607576,10907191,10393204,9578553,9219586
C.製造業,14 成衣、服飾品及其他紡織製品製造,143 紡織帽製造,158102,152952,137574,166461,167385,193368,215610,226191,211271,190225,182850,174740
C.製造業,14 成衣、服飾品及其他紡織製品製造,144 紡織鞋製造,1271634,997172,1434948,1370168,1565291,1489640,1637073,1671235,1605812,1548101,1481146,1334111
C.製造業,14 成衣、服飾品及其他紡織製品製造,145 服飾品製造,3566359,2886451,3998651,3842639,4322861,4281695,4460727,4570343,4221038,4017553,3681206,3247119
C.製造業,14 成衣、服飾品及其他紡織製品製造,149 其他紡織製品製造,28019030,23241901,29563121,28970718,31849416,30679418,31002670,31524404,29531698,28709299,28710355,27406296
C.製造業,15 皮革、毛皮及其製品製造,,16135293,12201470,16996213,15569874,17714414,16827554,13601764,13591360,11418793,11454780,10620004,10679814
C.製造業,16 木竹製品製造,,19971849,15409135,19282309,18655302,20867757,20709727,21851879,22126174,20879572,21194193,20115236,19470645
C.製造業,17 家具及裝設品製造,171 非金屬家具及裝設品製造,2517752,1998011,2570894,2477648,3078158,3154412,3371405,3477395,3137490,3076432,2851919,2831466
C.製造業,17 家具及裝設品製造,172 金屬家具及裝設品製造,5715835,4170201,5800043,5510481,6489192,6268850,6629303,6719685,6260955,6420811,6231913,5767384
C.製造業,17 家具及裝設品製造,173 家具及裝設品表面塗裝,2560437,1781145,2452986,2391879,2921634,2855100,3064750,2994332,2818531,2847788,2674239,2478810
C.製造業,18 紙漿、紙及紙製品製造,181 紙漿製造業,33267502,23849532,32683787,32446784,32930014,33287311,34914942,31629838,30658596,32767822,31508791,31379794
C.製造業,18 紙漿、紙及紙製品製造,182 紙製造業,85489535,63323055,89209611,95139111,85153928,75918213,76728648,80295002,83083359,79175351,84342124,92870836
C.製造業,18 紙漿、紙及紙製品製造,183 加工紙製造業,5651176,4614868,6219954,5635576,5970814,5361395,5999020,6171737,5733358,6072548,6061522,5867624
C.製造業,18 紙漿、紙及紙製品製造,184 紙容器製造業,17518885,13278116,18492351,17454156,20522095,20954850,22019399,21206753,19884762,21256053,21042281,20554263
C.製造業,18 紙漿、紙及紙製品製造,189 其他紙製品製造業,14371629,10988677,15109696,14061096,15679937,14932536,15093841,15935367,14424070,15204287,14517263,14155546
C.製造業,19 印刷及有關事業合計,191 印刷業,34635775,26156887,33972537,33546924,40333437,39989633,42786013,44043846,40867337,40014769,38519801,35402756
C.製造業,19 印刷及有關事業合計,192 製版業,403063,316734,372893,422308,484143,508554,530396,608016,547192,539050,473928,427783
C.製造業,19 印刷及有關事業合計,193 裝訂及印刷工業,2316387,1805887,2317992,2410052,2815696,2856657,3021758,3025231,2979612,2979995,2740395,2375730
C.製造業,19 印刷及有關事業合計,194 印刷有關服務業,5079003,3490146,5075785,4659399,5322993,5127069,5457269,5550775,4985634,5042727,4957150,4638839
C.製造業,21 化學材料製造業,211 基本化學材料製造,139235144,132848019,150461805,147449746,166143662,149322289,152868376,149570104,145324581,147873789,142978057,129581807
C.製造業,21 化學材料製造業,212 人造纖維製造,261447905,229286523,277832565,276978535,282236358,276299495,290683177,284753337,271844300,281679905,275070796,271787208
C.製造業,21 化學材料製造業,213 合成樹脂、塑膠及橡膠製造,144484404,136055843,156537013,163273904,149723504,125500383,131396086,136250486,126292523,147624443,162272336,175367694
