年,地區,用戶數,全年售電量,平均每人每年用電量
2017,臺閩地區,13694205,64097497928,2721.124071
2017,臺灣地區,13657557,63890004476,2729.583504
2017,北部區域,5456800,29799913689,2795.952808
2017,臺北市,1177005,7603365140,2827.075239
2017,新北市,2006672,11150849565,2799.646585
2017,基隆市,198539,878081660,2361.837705
2017,新竹市,252740,1269837734,2891.021285
2017,桃園市,1195201,6153252530,2838.360124
2017,新竹縣,324642,1520166248,2764.818348
2017,宜蘭縣,302001,1224360812,2678.698615
2017,中部區域,3717267,15995861462,2751.17862
2017,臺中市,1655677,8477614834,3052.625739
2017,苗栗縣,350270,1379372108,2478.664987
2017,彰化縣,845665,3292060347,2562.309482
2017,南投縣,311622,1149845610,2285.48919
2017,雲林縣,554033,1696968563,2450.060947
2017,南部區域,4152427,16653298004,2608.664283
2017,高雄市,1737954,7377920464,2655.703151
2017,臺南市,1256284,5051818120,2678.19384
2017,嘉義市,171772,731577813,2713.205258
2017,嘉義縣,366804,1159933703,2259.973586
2017,屏東縣,569381,2088818401,2507.988561
2017,澎湖縣,50232,243229503,2346.235126
2017,東部區域,331063,1440931321,2618.708613
2017,花蓮縣,198986,910916449,2759.734026
2017,臺東縣,132077,530014872,2407.28739
2017,福建省,36648,207493453,1392.358582
2017,金門縣,31585,165094477,1211.3914
2017,連江縣,5063,42398976,3328.542628
