年度,住宅用電-排名,住宅用電-國別,住宅用電-電價(台幣元/度),工業用電-排名,工業用電-國別,工業用電-平均電價(台幣元/度)
2019,1,墨西哥,1.9483,1,美  國,2.1123
2019,2,大  陸*,2.4299,2,瑞  典,2.1801
2019,3,馬來西亞,2.498,3,芬  蘭,2.3337
2019,4,臺  灣,2.5256,4,臺  灣,2.4738
2019,5,南  韓,3.1669,5,丹  麥,2.4766
2019,6,土耳其,3.2734,6,盧森堡,2.5271
2019,7,加拿大,3.4787,7,大  陸*,2.6948
2019,8,泰  國*,3.6419,8,匈牙利,2.713
2019,9,匈牙利,3.7798,9,馬來西亞,2.7961
2019,10,美  國,4.0318,10,加拿大,2.7973
2019,11,波  蘭,4.8179,11,墨西哥,2.8451
2019,12,新加坡,5.7185,12,南  韓,2.9326
2019,13,希  臘,5.7309,13,荷  蘭,2.9875
2019,14,菲律賓,5.912,14,希  臘,2.9978
2019,15,捷  克,5.9474,15,波  蘭,3.0577
2019,16,瑞  典,6.0348,16,捷  克,3.2157
2019,17,智  利,6.0672,17,泰  國*,3.2206
2019,18,法  國,6.1582,18,土耳其,3.2714
2019,19,芬  蘭,6.3584,19,奧地利,3.3905
2019,20,瑞  士,6.5575,20,立陶宛,3.6158
2019,21,英  國,6.7743,21,法  國,3.6439
2019,22,奧地利,6.8482,22,瑞  士,3.7031
2019,23,澳  洲,7.1128,23,西班牙,3.7934
2019,24,葡萄牙,7.4963,24,葡萄牙,3.9637
2019,25,荷  蘭,7.7259,25,愛爾蘭,3.9838
2019,26,日  本,7.7932,26,比利時,4.1711
2019,27,愛爾蘭,7.9952,27,德  國,4.5158
2019,28,西班牙,8.896,28,英  國,4.5503
2019,29,義大利,8.9464,29,智  利,4.9327
2019,30,比利時,9.7781,30,澳  洲,4.948
2019,31,丹  麥,9.936,31,日  本,5.1954
2019,32,德  國,10.3263,32,義大利,5.7242
