行業別大類,行業別中類,行業別小類,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
A.農、林、漁、牧業,01 農、牧業,011 農作物栽培業,34522646,34140913,33753487,35747760,38877354,40332284,42426367,46488177,45586774,44727457,41909072,38205810
A.農、林、漁、牧業,01 農、牧業,012 畜牧業,42685374,42144411,42493628,46249896,53207899,57869543,61307115,68244034,68178963,63032076,56010610,48521771
A.農、林、漁、牧業,01 農、牧業,013 農事及畜牧服務業,53869530,57865981,58626392,59261351,63010633,61220210,63028323,68010518,64635946,67026971,68079677,61361540
A.農、林、漁、牧業,02 林業,021 林業,150096,145773,132617,156870,173257,171154,176296,184807,178168,197904,184011,183310
A.農、林、漁、牧業,03 漁業,031 漁撈業,124329,135746,133098,129178,150597,144608,128920,162568,162589,146800,132154,111948
A.農、林、漁、牧業,03 漁業,032 水產養殖業,73120077,70237360,70753516,73805683,82948063,85111625,84276279,91926922,91193552,90605245,87327256,77557726
B.礦業及土石採取業,05 石油及天然氣礦業,,1011358,774659,918781,2740308,1043055,1124009,1265781,2083403,3835974,2818314,2032152,2484085
B.礦業及土石採取業,06 砂、石採取及其他礦業,,16172358,10314675,13869871,14142374,13710239,12494671,17373732,17499468,18410477,20981580,21985395,22957297
C.製造業,08 食品及飲料製造業,081 肉類加工及保藏業,33191727,27309089,33270223,33210554,35637424,35706099,38958663,39535256,38017954,38068002,36721284,35793577
C.製造業,08 食品及飲料製造業,082 水產加工及保藏業,13957702,11512508,14229470,14045653,15221458,15308737,17398290,17985200,17047579,18577996,17464645,16584732
C.製造業,08 食品及飲料製造業,083 蔬果加工及保藏業,14999726,12256090,13926389,17777458,18301593,17178978,19104764,18731394,17659487,18703836,17207670,18602399
C.製造業,08 食品及飲料製造業,084 動植物油脂製造業,13759053,9994029,12936499,12683980,13341527,13173316,14485442,13978538,13528178,13697604,12865212,13165240
C.製造業,08 食品及飲料製造業,085 乳品製造業,16915609,14881806,17431021,18474446,20049796,20705947,22693578,22985081,21616313,20869430,18633707,17852275
C.製造業,08 食品及飲料製造業,086 碾榖、磨粉及澱粉製品製造業,19702046,14160381,17725765,18159272,20300520,20839355,22137958,21836686,19215899,20656190,21115993,20752262
C.製造業,08 食品及飲料製造業,087 動物飼品製造業,29826503,22894446,29105645,30130717,32803050,32826398,36326909,35926569,33862431,34321085,31072057,30103701
C.製造業,08 食品及飲料製造業,089 其他食品製造業,126895920,104509691,124396216,128696184,141051315,142077287,155725312,163337329,151967816,153880082,144211459,138753723
C.製造業,09 飲料製造業,091 酒精飲料製造業,10083747,8293977,9942897,9496643,13709926,12823100,13973684,12857814,12236077,11835683,10421856,9600376
C.製造業,09 飲料製造業,092 非酒精飲料製造業,25384084,19334535,24324605,25915795,28713226,29162412,33523323,32537766,28974008,29026305,26193627,23406723
C.製造業,10菸草製造業,,4019317,3312310,4090537,4239255,4286526,4686326,5238467,5117739,4731772,4631503,4770839,4618336
C.製造業,11 紡織業,111 紡紗業,130781185,103798376,132846267,130042797,136098098,126707051,136673441,139704385,125722087,126541288,120667588,121022174
C.製造業,11 紡織業,112 織布業,206777705,170392466,213711987,209103003,218795965,203641059,218234660,209691272,190310550,193649627,181721733,178296695
