,stationID,stationName,stationNameEN,stationAttribute,dataYearMonth,temperature_mean,temperature_maximum,temperature_maximumDate,temperature_minimum,temperature_minimumDate,precipitation_accumulation,precipitation_GE01Days,windSpeed_maximum,windSpeed_maximumDate,windDirection_maximum,gustSpeed_maximum,gustSpeed_maximumDate,gustDirection_maximum,relativeHumidity_mean,relativeHumidity_minimum,relativeHumidity_minimumDate,stationPressure_mean,sunshineDuration_total
0,466880,板橋,BANQIAO,局屬有人氣象站,2012-01,15.8,25.9,2012-01-18,9.1,2012-01-04,188.3,15,7.0,2012-01-12,80.0,12.9,2012-01-17,70.0,81,44,2012-01-18,1018.8,26.8
1,466900,淡水,TAMSUI,局屬有人氣象站,2012-01,14.9,23.6,2012-01-18,8.2,2012-01-04,185.1,18,6.6,2012-01-03,20.0,14.1,2012-01-16,20.0,90,59,2012-01-17,1017.9,27.0
2,466910,鞍部,ANBU,局屬有人氣象站,2012-01,9.9,19.1,2012-01-14,2.3,2012-01-04,455.0,26,12.5,2012-01-16,350.0,19.5,2012-01-16,350.0,96,66,2012-01-18,924.6,25.5
3,466920,臺北,TAIPEI,局屬有人氣象站,2012-01,15.9,25.7,2012-01-18,9.3,2012-01-04,157.4,16,7.9,2012-01-12,90.0,15.5,2012-01-12,80.0,86,53,2012-01-18,1019.3,23.0
4,466930,竹子湖,ZHUZIHU,局屬有人氣象站,2012-01,11.6,21.1,2012-01-18,4.2,2012-01-04,372.0,26,8.6,2012-01-03,20.0,17.1,2012-01-03,20.0,94,70,2012-01-18,949.2,37.4
5,466940,基隆,KEELUNG,局屬有人氣象站,2012-01,15.5,24.1,2012-01-18,9.5,2012-01-04,533.4,27,11.0,2012-01-03,10.0,16.9,2012-01-23,10.0,85,54,2012-01-02,1017.1,14.6
6,466950,彭佳嶼,PENGJIAYU,局屬有人氣象站,2012-01,15.3,22.7,2012-01-14,9.0,2012-01-05,166.6,20,17.4,2012-01-16,10.0,24.3,2012-01-16,10.0,80,52,2012-01-02,1008.2,24.5
7,466990,花蓮,HUALIEN,局屬有人氣象站,2012-01,17.8,24.8,2012-01-08,12.7,2012-01-05,53.0,15,10.2,2012-01-25,40.0,18.4,2012-01-25,40.0,77,54,2012-01-18,1016.7,48.3
8,467060,蘇澳,SU-AO,局屬有人氣象站,2012-01,16.0,23.6,2012-01-16,9.7,2012-01-04,351.2,26,8.3,2012-01-25,10.0,18.8,2012-01-25,30.0,84,52,2012-01-18,1017.0,37.3
9,467080,宜蘭,YILAN,局屬有人氣象站,2012-01,16.1,24.7,2012-01-16,10.0,2012-01-04,175.1,20,11.3,2012-01-16,320.0,20.0,2012-01-16,320.0,83,52,2012-01-16,1018.9,38.4
10,467110,金門,KINMEN,局屬有人氣象站,2012-01,12.1,21.0,2012-01-08,5.7,2012-01-05,60.6,12,7.2,2012-01-01,70.0,17.4,2012-01-11,60.0,82,52,2012-01-01,1018.2,70.6
11,467300,東吉島,DONGJIDAO,局屬有人氣象站,2012-01,16.1,20.7,2012-01-19,12.1,2012-01-23,13.8,9,19.9,2012-01-23,20.0,27.5,2012-01-23,20.0,84,69,2012-01-02,1013.0,38.8
12,467350,澎湖,PENGHU,局屬有人氣象站,2012-01,15.1,21.5,2012-01-19,11.3,2012-01-23,10.5,9,10.7,2012-01-04,20.0,21.9,2012-01-22,20.0,82,63,2012-01-02,1017.9,24.2
13,467410,臺南,TAINAN,局屬有人氣象站,2012-01,17.2,27.2,2012-01-15,11.2,2012-01-05,5.5,5,9.2,2012-01-16,20.0,16.1,2012-01-16,10.0,79,55,2012-01-19,1015.4,144.9
14,467440,高雄,KAOHSIUNG,局屬有人氣象站,2012-01,19.3,28.3,2012-01-19,13.3,2012-01-05,T,0,6.7,2012-01-16,350.0,13.3,2012-01-16,350.0,75,49,2012-01-28,1017.1,177.1
15,467480,嘉義,CHIAYI,局屬有人氣象站,2012-01,16.6,26.6,2012-01-15,10.6,2012-01-05,23.0,10,6.5,2012-01-16,40.0,10.2,2012-01-16,350.0,80,53,2012-01-11,1014.8,96.5
