pitch	secs	volume	RT_mean	RT_std	choice_raw																			
A	0.5	0.5	0.004361719265580178	0.013263939370684473	'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'
A	0.5	1.0	0.0028699399903416634	0.010804604114619554	'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'
A	2.0	0.5	0.004173605144023896	0.012804147948718914	'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'
A	2.0	1.0	0.0026851098984479902	0.011364472522465892	'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'
G	0.5	0.5	0.003473445400595665	0.014897617843343059	'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'
G	0.5	1.0	0.005979179963469505	0.01812605141077676	'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'
G	2.0	0.5	0.003579869866371155	0.010574620737109398	'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'
G	2.0	1.0	0.007030220329761505	0.01722708102398571	'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'	 'high'

extraInfo
participant	Nobody
