GroupID,SubjectID,Leader,PreCollaboration_DiscountRate,Collaboration_DiscountRate,PostCollaboration_DiscountRate
1,1,0,3.400579164,3.023096218,3.42206073
1,2,0,1.772050693,3.023096218,2.968866491
1,3,1,3.232337904,3.023096218,2.98022462
2,4,1,2.037110948,2.673057957,2.727699483
2,5,0,2.472363356,2.673057957,2.602216314
2,6,0,3.269913914,2.673057957,2.830143973
3,7,0,1.617663433,2.008269428,2.196877327
3,8,0,1.56139255,2.008269428,1.878943006
3,9,1,2.000913332,2.008269428,1.938603348
4,10,1,2.556283479,2.443706025,2.511691013
4,11,0,2.355198221,2.443706025,2.552014911
4,12,0,1.738014748,2.443706025,2.256089016
5,13,1,2.604190142,2.44845845,2.624405598
5,14,0,2.249192658,2.44845845,2.448925659
5,15,0,1.87020158,2.44845845,1.976523126
6,16,0,2.605698228,2.760595752,2.709947627
6,17,0,2.629415143,2.760595752,2.39156489
6,18,1,3.888033248,2.760595752,3.612293733
7,19,1,2.754174384,2.428798668,3.333659355
7,20,0,2.348306211,2.428798668,2.162160435
7,21,0,2.056315704,2.428798668,2.465066834
8,22,0,3.403271489,2.6133719,2.815074764
8,23,1,1.98583312,2.6133719,2.42805779
8,24,0,2.418060964,2.6133719,2.458216117
9,25,1,2.661667417,2.620833009,2.846243032
9,26,0,2.34834194,2.620833009,2.569080426
9,27,0,2.787947113,2.620833009,2.692085879
10,28,1,2.556097065,2.415201923,2.143315434
10,29,0,2.077530335,2.415201923,0.565540804
10,30,0,1.934675665,2.415201923,2.098257102
11,31,0,0.379580201,3.429523366,2.709512009
11,32,0,4.516534751,3.429523366,4.025886155
11,33,1,2.015708454,3.429523366,3.364258068
12,34,0,2.701243033,3.2728955,2.510939675
12,35,1,5.031017933,3.2728955,4.073606009
12,36,0,2.573905205,3.2728955,2.846305818
13,37,1,2.723056665,1.58358617,2.149712478
13,38,0,1.771007225,1.58358617,1.301913879
13,39,0,0.784470501,1.58358617,1.165146154
14,40,0,0.45450174,2.523134168,0.791209932
14,41,1,2.949535302,2.523134168,2.698853024
14,42,0,2.938181736,2.523134168,2.348586749
15,43,0,2.456771254,2.706535204,2.44098669
15,44,0,1.015788053,2.706535204,2.227446529
15,45,1,5.47287277,2.706535204,4.204329898
16,46,1,2.953225325,2.226623003,2.730939817
16,47,0,2.692791762,2.226623003,1.92338102
16,48,0,2.142048038,2.226623003,2.311767526
17,49,0,0.732002621,2.384957157,2.364802839
17,50,1,2.520412343,2.384957157,2.611063358
17,51,0,2.78104049,2.384957157,2.872344113
18,52,0,1.628522194,2.515447764,2.509380844
18,53,1,2.354921692,2.515447764,2.377599496
18,54,0,2.093737037,2.515447764,2.58757174
19,55,0,1.301360152,1.485602849,1.00158945
19,56,1,0.722415056,1.485602849,1.193493317
19,57,0,3.478734108,1.485602849,1.53127554
20,58,0,0.779310218,2.735495949,3.03833247
20,59,0,5.133903829,2.735495949,3.218470528
20,60,1,2.142594962,2.735495949,2.980966596
